"id","name","salesPrice","originalPrice","discountPercentage","rating","countReview","productUrl","imageUrl","shopName","shopUrl","shopLocation","isGoldMerchant","isOfficial","preorder"
10461823849,"modul pcb mesin cuci LG frontloading kapasitas 8 kg ","Rp700.000","",0,0,0,"https://www.tokopedia.com/makmurelktronik/modul-pcb-mesin-cuci-lg-frontloading-kapasitas-8-kg?extParam=ivf%3Dfalse","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/6/28/2e567ff3-5216-446e-80b6-e9fffa644b67.jpg","makmur elektronik original","https://www.tokopedia.com/makmurelktronik","Jakarta Utara",true,false,false
2451050644,"Mesin Cuci Front Loading 8Kg Samsung WW80T504DTT 8 Kg Samsung WW80T504","Rp5.890.000","",0,5,3,"https://www.tokopedia.com/bonjour-electronic/mesin-cuci-front-loading-8kg-samsung-ww80t504dtt-8-kg-samsung-ww80t504?extParam=ivf%3Dfalse","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/3/20/320cb1af-ba3e-4f8c-8659-c415e28c0f77.jpg","Bonjour Electronic Official Store","https://www.tokopedia.com/bonjour-electronic","Depok",true,true,false
12281186239,"MODUL PCB MESIN CUCI ELECTROLUX EWF 85761","Rp699.000","",0,5,1,"https://www.tokopedia.com/tovowivi/modul-pcb-mesin-cuci-electrolux-ewf-85761?extParam=ivf%3Dfalse","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/7/19/093ec942-77ce-4e3a-a7b6-451809abb494.jpg","Prima Abadi Service","https://www.tokopedia.com/tovowivi","Jakarta Utara",true,false,false
1331077650,"Pulsator mesin cuci Polytron AS 10 gigi diameter 32 CM/ 34 cm","Rp42.000","",0,5,179,"https://www.tokopedia.com/nauraulfa/pulsator-mesin-cuci-polytron-as-10-gigi-diameter-32-cm-34-cm-34?extParam=ivf%3Dfalse","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2020/9/30/faa9c16f-308b-4c12-88d5-b3efc0b92e83.jpg","NAURA ULFA","https://www.tokopedia.com/nauraulfa","Tangerang",true,false,false
4918301309,"Selang Pembuangan Mesin Cuci AQUA 1 Tabung Transparan","Rp35.000","",0,5,5,"https://www.tokopedia.com/grandyc/selang-pembuangan-mesin-cuci-aqua-1-tabung-transparan?extParam=ivf%3Dfalse","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/7/20/e393da82-b660-4b6b-b646-81f65a0687d9.jpg","Grandy Cool","https://www.tokopedia.com/grandyc","Jakarta Barat",true,false,false
1661371647,"Dinamo Spin Sharp Tipe C Motor Pengering Mesin cuci Sharp 2 Tabung AL","Rp105.000","",0,5,26,"https://www.tokopedia.com/bundaelektro/dinamo-spin-sharp-tipe-c-motor-pengering-mesin-cuci-sharp-2-tabung-al?extParam=ivf%3Dfalse","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/3/10/220aac32-08fb-470d-910e-12acea872323.jpg","Bunda Elektronik","https://www.tokopedia.com/bundaelektro","Tangerang",true,false,false
13456849587,"MESIN CUCI 1 TABUNG HISENSE WTAG805T ( 8KG )","Rp2.199.000","",0,5,2,"https://www.tokopedia.com/angkasajayae/mesin-cuci-1-tabung-hisense-wtag805t-8kg?extParam=ivf%3Dfalse","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/5/18/a0efcc58-e3e6-4006-9d5d-5ebb1019f76a.jpg","Angkasa Jaya Elektronic","https://www.tokopedia.com/angkasajayae","Medan",true,false,false
12790533615,"KARET SEAL PEMBUANGAN AIR MESIN CUCI TOSHIBA 1 SET","Rp10.000","",0,5,1,"https://www.tokopedia.com/oneteknikwijaya/karet-seal-pembuangan-air-mesin-cuci-toshiba-1-set?extParam=ivf%3Dfalse","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/2/23/d3ac2292-c231-4d29-98d5-dcc9191e2be2.png","One Teknik Wijaya","https://www.tokopedia.com/oneteknikwijaya","Jakarta Utara",true,false,false
10386761782,"Shock Breaker Mesin Cuci Front Loading LG Samsung Electrolux Midea","Rp21.000","",0,5,87,"https://www.tokopedia.com/bundaelektro/shock-breaker-mesin-cuci-front-loading-lg-samsung-electrolux-midea?extParam=ivf%3Dfalse","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/6/23/1a14e77c-1c84-4f20-a0d3-43ace273dfe7.jpg","Bunda Elektronik","https://www.tokopedia.com/bundaelektro","Tangerang",true,false,false
871855669,"Buzzer/alarm mesin cuci SANKEN original","Rp30.000","",0,5,17,"https://www.tokopedia.com/kerio-elektronik/buzzer-alarm-mesin-cuci-sanken-original?extParam=ivf%3Dfalse","https://images.tokopedia.net/img/cache/200-square/product-1/2020/5/30/6715923/6715923_93020a11-b696-449b-b4a0-8b33fb6eb7c9_1920_1920.jpg","Kerio Elektronik","https://www.tokopedia.com/kerio-elektronik","Jakarta Utara",true,false,false
